horizon,theta,mae_original,mae_epimodulated,mae_delta,mae_improved,rmse_original,rmse_epimodulated,rmse_delta,rmse_improved
1,0.0,402.05634150004306,402.05634150004306,0.0,False,1132.8359333911237,1132.8359333911237,0.0,False
2,2.004008016032064e-06,332.3150125162987,325.3225940684178,-6.99241844788088,True,898.9223270877624,874.0968360548105,-24.825491032951845,True
3,2.004008016032064e-06,269.93050792014486,261.90086458279063,-8.02964333735423,True,694.138147598859,665.4324690369385,-28.705678561920422,True
4,0.0,221.75667935839945,221.75667935839945,0.0,False,562.7808811082442,562.7808811082442,0.0,False
