method,avg_mae,avg_rmse,avg_mae_vs_baseline,avg_rmse_vs_baseline
baseline,315.7115272086064,830.9735451547417,0.0,0.0
avg,306.378083167741,807.8759468480214,-9.333444040865366,-23.09759830672033
wae_mse,312.0661516588702,827.9026217596172,-3.6453755497362152,-3.0709233951244244
wae_rmse,309.2271813117194,817.861352070322,-6.484345896886978,-13.112193084419687
lr_stack,317.2425609192438,832.9098945140042,1.5310337106373808,1.9363493592625218
svr_stack,130.8159036348639,333.85108809573177,-184.8956235737425,-497.1224570590099
